112.99	65.78
136.49	71.52
153.03	69.4
142.34	68.22
144.3	67.79
123.3	68.7
141.49	69.8
136.46	70.01
112.37	67.9
120.67	66.78
127.45	66.49
114.14	67.62
125.61	68.3
122.46	67.12
116.09	68.28
140	71.09
129.5	66.46
142.97	68.65
137.9	71.23
124.04	67.13
141.28	67.83
143.54	68.88
97.9	63.48
129.5	68.42
141.85	67.63
129.72	67.21
142.42	70.84
131.55	67.49
108.33	66.53
113.89	65.52
103.3	69.52
120.75	65.81
125.79	67.82
136.22	70.6
140.1	71.8
128.75	69.21
141.8	66.8
121.23	67.66
131.35	67.81
106.71	64.05
